country,survey_date,round,site_region,site_province,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,site_date_open,,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,sma_name,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_pregnant,n_lactating,n_pwd,,n_elder,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,sec_phys_violence,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,1/23/2016,8,ADAMAWA,GIREI,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.26852,9.1909,Spontaneous,Camp,8/24/2014,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,NULL,NULL,Yes,Government,NEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,GULAK,275,1512,45,37,231,315,131,89,311,338,7,8,25,96,5,1,15,38,7,10,27,43,20,08/28/2014,01/18/2016,Yes,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,<50%,None,<75%,None,<25%,None,<75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),>50 %,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,76,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<1 km,>75%,Farming,25,Yes,Yes,Yes,Yes,Yes,Military,Friction anmong site residents,None,None,None,None,2,2,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1560
Nigeria,1/26/2016,8,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S002,DEEPER LIFE CAMP GROUND,FORMAL,12.31593,9.30064,Spontaneous,Camp,9/17/2014,Open,<2 months,NULL,Yes,NULL,Private Building,Community center,Yes,Yes,NULL,NULL,Yes,Religious entity,CHURCH,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,ADAMAWA,MADAGALI,NULL,BORNO,GWOZA,NULL,26,175,2,3,25,30,20,40,38,11,2,4,3,11,1,1,1,1,4,2,7,21,1,3/10/2014,7/11/2015,Yes,ADAMAWA,MADAGALI,NULL,Place of origin,Lack of safety,None,None,None,>75%,>75%,>75%,>75%,<75%,Soap,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),<50 %,Yes,None,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),32,Yes,Yes,Yes,No waste disposal system,22,No,Yes but no soap/water inside,Yes,Yes,No,Yes,"Yes, off site",Yes,Irregular,Distribution,No,No,No,Fever,Cough,Malnutrition,Yes,No,Off-site (>3 km),INGO,Yes,Off-site,<2 km,<50%,Farming,0,No,No,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,3,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,1570
Nigeria,1/23/2016,8,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38689,9.19653,Spontaneous,Camp,1/11/2014,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,NULL,NULL,Yes,Government,NEMA/SEMA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NULL,BORNO,BAMA,NULL,271,1273,72,46,89,104,224,196,203,317,14,8,41,120,0,0,22,6,68,0,13,253,6,NULL,NULL,Yes,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,None,<25%,<25%,>75%,>75%,None,<25%,>75%,Blankets/Mats,Mosquito nets,Hygiene kits,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),36,Yes,Yes,Yes,Garbage pit,0,No,Yes,Yes,Yes,No,Yes,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Malnutrition,Yes,Yes,Mobile clinic,Government,No,Off-site,<1 km,None,Farming,0,Yes,No,Yes,Yes,Yes,Military,Theft,None,None,None,None,6,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1562
Nigeria,1/22/2016,8,ADAMAWA,YOLA SOUTH,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37603,9.19288,Spontaneous,Camp,9/20/2014,Open,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,GWOZA,NULL,BORNO,BAMA,NULL,174,1005,27,36,37,48,180,253,213,211,0,0,39,63,9,0,0,0,3,8,6,168,0,3/6/2014,12/12/2015,Yes,BORNO,GWOZA,NULL,Place of origin,No livelihood,None,<75%,>75%,None,None,<75%,<75%,>75%,Blankets/Mats,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,Protected well,Hand pumps,10 - 15 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),16,Yes,Yes,No,Garbage pit,0,Yes,Yes,No,No,No,No,"Yes, on site",Yes,Once a week,Distribution,No,No,No,Malaria,Malnutrition,Fever,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<1 km,<50%,Farming,1,No,No,Yes,Yes,No,Military,None,None,None,None,None,7,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1563
Nigeria,1/23/2016,8,ADAMAWA,GIREI,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,INFORMAL,12.28432,9.18183,Spontaneous,Collective Settlement/Centre,4/27/2015,Open,Unknown,NULL,Yes,NULL,Private Building,Tents,Yes,Yes,NULL,NULL,Yes,INGO,IRC,,Yes,Yes,Yes,No,Yes,No,No,No,No,BORNO,GWOZA,GAVVA / AGAPALWA,ADAMAWA,MICHIKA,MICHIKA  II,14,51,0,4,7,2,13,6,6,11,1,1,1,4,0,0,2,2,0,0,11,3,0,4/27/2015,1/13/2016,Yes,BORNO,GWOZA,GAVVA / AGAPALWA,Place of origin,Lack of safety,None,>75%,None,None,None,>75%,None,<75%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,Off-site (<10 mn),>50 %,Yes,Spring,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,Malaria,Cough,Diarrhea,No,No,None,None,No,None,Unknown,None,Farming,0,No,No,No,No,No,None,None,None,None,None,None,0,0,Yes,No,No,No,No,Excellent,Good,No lighting,No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1561
Nigeria,1/26/2016,8,ADAMAWA,FUFORE,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.35503,9.25677,Spontaneous,Camp,11/2/2014,Open,Unknown,NULL,Yes,NULL,Public/Government,Self-made tents,Yes,Yes,NULL,NULL,No,NULL,NULL,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,NULL,231,1845,37,29,71,87,329,411,400,464,9,8,37,70,2,0,17,4,34,0,17,31,12,06/30/2014,11/30/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,<25%,>75%,>75%,<25%,<75%,>75%,>75%,Plastic sheeting,Blankets/Mats,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),4,Yes,Yes,Yes,Burning,2,No,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,No,Yes,Malaria,Cough,Fever,Yes,Yes,Off-site (>3 km),Government,Yes,On-site,<2 km,<75%,Farming,37,Yes,Yes,Yes,Yes,Yes,Community Leaders,Theft,None,None,None,Not enough assistance for all entitled,2,1,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,1564
Nigeria,1/26/2016,8,ADAMAWA,YOLA NORTH,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,FORMAL,12.44467,9.2734,Spontaneous,Collective Settlement/Centre,NULL,Open,Unknown,NULL,Yes,NULL,Private Building,Community center,Yes,No,NULL,NULL,Yes,Religious entity,NA,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,GIREI,GIREI I,376,896,6,14,24,35,82,94,205,389,20,27,3,27,0,0,47,0,0,0,19,23,0,NULL,01/27/2016,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,<25%,<25%,<75%,<50%,<75%,<75%,<50%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,>15 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,Unknown,Yes,No waste disposal system,0,Yes,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Fever,Cough,No,No,Off-site (>3 km),NGO,Yes,On-site,<1 km,<50%,None,48,No,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Distribution,No,1568
Nigeria,1/20/2016,8,ADAMAWA,FUFORE,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.4065,9.12486,Spontaneous,Camp,8/5/2015,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,NULL,NULL,Yes,Government,"NEMA,SEMA,NRC",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,BORNO,NGALA,OLD GAMBORU 'A',374,2967,56,69,379,396,401,420,417,605,99,125,98,347,6,0,224,38,78,0,207,341,28,10/10/2015,12/19/2015,Yes,BORNO,BAMA,BUDUWA / BULA CHIRABE,Place of origin,House damaged/destroyed,None,>75%,>75%,<25%,<25%,<25%,<75%,>75%,Kitchen sets,Bucket/Jerry Can,Other,On-site (<10 mn),100%,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),36,Yes,Yes,Yes,Burning,3,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",No,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<75%,Petty trade,53,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,1,1,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",Yes,Nigeria,Better living conditions,Authorities,Safety and Security,Yes,1572
Nigeria,1/21/2016,8,ADAMAWA,MUBI SOUTH,GUDE,AD_S021,GUDE CAMP,INFORMAL,13.307469,10.197026,Spontaneous,Transitional Centre,6/5/2015,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,NULL,NULL,Yes,Local NGO,AMOS A MUSA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,BORNO,MAIDUGURI M. C.,GAMBORU LIBERTY,BORNO,KALA BALGE,"RANN  ""A""",134,475,7,13,21,38,33,36,27,164,59,77,15,39,2,0,136,5,3,7,6,3,4,01/16/2015,01/21/2015,Yes,BORNO,MAIDUGURI M. C.,GAMBORU LIBERTY,Place of origin,Lack of safety,None,>75%,<25%,None,None,None,None,>75%,Kitchen sets,Bucket/Jerry Can,Hygiene kits,On-site (<10 mn),100%,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),12,Yes,Yes,Yes,Garbage pit,7,No,Yes but no soap/water inside,No,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Skin disease,Fever,Cough,Yes,Yes,On-site (<3 km),INGO,No,None,Unknown,None,None,0,No,No,No,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,Yes,1554
Nigeria,1/26/2016,8,ADAMAWA,YOLA NORTH,GWADABAWA,AD_S022,LABOUR HOUSE,INFORMAL,12.28064,9.1581,Spontaneous,Collective Settlement/Centre,9/17/2014,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,No,NULL,NULL,Yes,Local NGO,NA,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  II,26,117,2,4,4,5,6,11,34,47,2,2,3,7,0,0,4,0,0,0,0,0,0,5/9/2014,09/17/2014,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,<25%,<25%,<75%,<50%,>75%,<75%,<50%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,>15 ltr,No,Taste,Yes,Non usable,1,No,No,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, off site",Yes,Irregular,Cash,No,No,No,Malaria,Fever,Cough,No,No,Off-site (>3 km),NGO,Yes,On-site,<1 km,<50%,Daily labourer,6,No,No,No,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Site Management,Distribution,No,1565
