country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,,site_longitude,site_latitude,site_class,site_type,,site_date_open,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,13,11/18/2016,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S001,NYSC CAMP ADAMAWA,FORMAL,12.44748,9.31849,Spontaneous,Camp,,9/8/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,Government,NEMA,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NGOSHE,ADAMAWA,MADAGALI,MADAGALI,517,2524,56,60,116,259,257,516,480,445,925,272,443,715,127,125,252,48,310,2,8,252,65,0,0,3,0,0,,,Yes,BORNO,GWOZA,,Place of origin,House damaged/destroyed,None,None,<50%,>75%,>75%,>75%,<75%,<75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Water truck,Water truck,10 - 15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,No,Yes,No,Yes,"Yes, on site",No,Everyday,Cash,Yes,Yes,Yes,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<75%,Petty trade,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Excellent,Excellent,"Yes, there is lighting and it is adequate",No,N/A,,Site Management,Situation in areas of origin,No,3853
Nigeria,13,11/17/2016,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S003,MALKOHI CAMP,FORMAL,12.38553,9.19624,Spontaneous,Camp,,10/11/2014,Unknown,,Yes,,Public/Government,Government building,Yes,No,,,Yes,Government,NEMA,8094281638,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,,ADAMAWA,MADAGALI,,331,1657,77,60,137,156,145,301,121,160,281,480,393,873,35,30,65,23,237,0,11,65,21,0,0,0,0,0,11/11/2014,,No,BORNO,GWOZA,,Place of origin,Lack of safety,None,<25%,<50%,<75%,<50%,<50%,None,<50%,Blankets/Mats,Kitchen sets,Mosquito nets,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,Yes,Yes,Yes,Garbage pit,6,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",No,Irregular,Cash,No,No,No,No,No,No,Malaria,Cough,None,No,Yes,Mobile clinic,Government,Yes,On-site,<2 km,<50%,Farming,50,Yes,No,Yes,Yes,No,Military,None,None,None,None,Unknown,0,0,No,Unknown,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Radio/news,Safety and Security,No,3735
Nigeria,13,11/14/2016,AD,ADAMAWA,AD21,YOLA SOUTH,AD2104,NAMTARI,AD_S004,MALKOHI VILLAGE ,INFORMAL,12.37614,9.19288,Spontaneous,Camp,,10/11/2014,Unknown,,Yes,,Public/Government,Self-made tents,No,N/A,,,Yes,INGO,,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,,,,310,1551,25,13,38,177,163,340,308,242,550,309,306,615,3,5,8,12,138,0,0,8,1,0,0,0,3,0,9/11/2014,2/4/2015,No,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,None,<50%,>75%,None,None,<50%,<25%,<50%,Blankets/Mats,Mosquito nets,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),7,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,No,No,No,Malaria,Cough,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Farming,309,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Safety and Security,No,3741
Nigeria,13,11/18/2016,AD,ADAMAWA,AD04,GIREI,AD0408,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,INFORMAL,12.47378,9.30329,Spontaneous,Camp,,04/27/2015,Unknown,,Yes,,Private Building,Self-made tents,No,N/A,,,No,,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,BORNO,GWOZA,,,,,15,60,1,2,3,7,12,19,9,7,16,12,8,20,1,1,2,2,8,0,0,2,0,0,0,1,2,0,,,No,BORNO,GWOZA,,Place of origin,Lack of safety,None,None,<75%,None,None,<25%,None,<25%,Mosquito nets,Hygiene kits,Blankets/Mats,On-site (<10 mn),>50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Non usable,0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Once a month,Cash,No,No,No,No,No,No,Malaria,Cough,Fever,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<5 km,<25%,Farming,0,Yes,Yes,Yes,Yes,No,Local Authorities,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Situation in areas of origin,No,3756
Nigeria,13,11/19/2016,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S006,DAWARE CAMP,INFORMAL,12.59737,9.41843,Spontaneous,Collective Settlement/Centre,,06/21/2014,Unknown,,Yes,,Public/Government,Bunk houses,Yes,Yes,,,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,263,1206,53,51,104,91,75,166,254,263,517,186,208,394,18,7,25,10,125,1,0,25,4,34,1,27,37,14,                                 06/30/2014,                                11/18/2016,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,None,>75%,<25%,None,<25%,<25%,>75%,Blankets/Mats,Soap,Hygiene kits,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),42,Yes,Yes,Yes,Burning,5,No,Yes,Yes,Yes,Yes,No,"Yes, on site",Unknown,Irregular,Cash,Yes,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<75%,Farming,41,Yes,Yes,Yes,Yes,No,Community Leaders,None,None,None,None,Not enough assistance for all entitled,1,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Mobile phone,Situation in areas of origin,Yes,3837
Nigeria,13,11/17/2016,AD,ADAMAWA,AD20,YOLA NORTH,AD2008,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,INFORMAL,12.44666,9.27306,Spontaneous,Collective Settlement/Centre,,12/4/2014,Unknown,,Yes,,Private Building,Bunk houses,Yes,Yes,,,Yes,Religious entity,GENESIS,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MICHIKA,MICHIKA  I,94,681,7,11,18,68,36,104,75,89,164,139,192,331,11,53,64,10,60,0,0,64,0,0,0,0,0,0,8/8/2014,1/1/2015,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,House damaged/destroyed,None,<25%,None,>75%,>75%,>75%,None,>75%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),100%,Yes,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Good (Hygienic),30,Yes,Yes,Yes,Burning,1,Yes,Yes,Yes,Yes,No,Yes,"Yes, on site",Unknown,Everyday,Distribution,Yes,Yes,Yes,Yes,No,No,Malaria,Malnutrition,Skin disease,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<75%,Petty trade,0,No,Yes,No,Yes,No,Religious Leaders,None,None,None,None,None,1,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Mobile phone,Other relief assistance,No,3775
Nigeria,13,11/23/2016,AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,INFORMAL,12.6131,9.80547,Spontaneous,Collective Settlement/Centre,,4/10/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,No,,,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,ADAMAWA,MICHIKA,GARTA / GHUNCHI,ADAMAWA,MADAGALI,GULAK,59,103,8,11,19,11,14,25,6,8,14,15,20,35,2,8,10,5,22,0,0,10,1,4,6,15,10,4,,,Yes,ADAMAWA,MICHIKA,GARTA / GHUNCHI,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,Hygiene kits,Mosquito nets,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),10,No,No,Yes,Garbage pit,0,Yes,Yes,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,No,No,No,Fever,Malaria,Malnutrition,No,No,None,None,Yes,Off-site,<5 km,<50%,Farming,12,Yes,No,Yes,No,No,None,None,None,None,Children involved in WFCL (forced labor/forced begging),Assistance did not respond to the actual need,1,0,No,No,Yes,No,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Mobile phone,Other relief assistance,No,3844
Nigeria,13,11/22/2016,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,FORMAL,12.67762,9.20809,Spontaneous,Collective Settlement/Centre,,11/6/2015,Unknown,,Yes,,Private Building,School,Yes,Yes,,,Yes,Government,"NEMA, AND SEMA, IRC, ICRC",8035627114,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,,BORNO,NGALA,NGALA WARD,385,1838,58,31,89,229,290,519,232,253,485,262,465,727,10,8,18,79,302,3,2,18,0,0,0,0,0,0,12/8/2015,                                12/19/2015,Yes,BORNO,BAMA,,Place of origin,House damaged/destroyed,None,>75%,None,<25%,None,<25%,<25%,>75%,Hygiene kits,Kitchen sets,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Hand pumps,Piped water supply,>15 ltr,Yes,None,No,Not so good (Not hygienic),96,Yes,Yes,Yes,Garbage pit,50,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,No,No,No,Malaria,Diarrhea,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,105,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,1,0,Yes,Unknown,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Site Management,Other relief assistance,No,3840
Nigeria,13,11/15/2016,AD,ADAMAWA,AD15,MUBI SOUTH,AD1504,GUDE,AD_S021,GUDE CAMP,INFORMAL,13.075,10.197,Pre Identified/For Relocation,Camp,,06/14/2015,Unknown,,Yes,,Public/Government,Tents,No,N/A,,,No,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,BORNO,GWOZA,,ADAMAWA,MADAGALI,,4,6,0,0,0,0,0,0,2,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,                                 12/15/2014,                                10/21/2016,Yes,BORNO,GWOZA,,Place of origin,Lack of food,None,>75%,None,None,None,<25%,None,None,Mosquito nets,Kitchen sets,Hygiene kits,Off-site (>10 mn),<50 %,No,Ponds/canals,Water truck,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),6,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes,Yes,No,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,No,No,Yes,No,No,No,Skin disease,Malaria,Cough,Yes,Yes,On-site (<3 km),NGO,No,None,<1 km,None,None,0,No,Yes,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Site Management,Situation in areas of origin,No,3867
Nigeria,13,11/18/2016,AD,ADAMAWA,AD20,YOLA NORTH,AD2004,GWADABAWA,AD_S022,LABOUR HOUSE,INFORMAL,12.46786,9.2636,Spontaneous,Collective Settlement/Centre,,8/4/2014,Unknown,,Yes,,Public/Government,Government building,Yes,Yes,,,Yes,INGO,NA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MADAGALI,MADAGALI,30,158,2,2,4,3,9,12,6,16,22,55,59,114,0,6,6,5,7,0,6,6,0,0,0,0,0,0,12/4/2014,6/6/2015,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,Lack of safety,None,None,<75%,<50%,<25%,<50%,<25%,<75%,Mosquito nets,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,5 - 10 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),12,Yes,Yes,No,No waste disposal system,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Local clinic,Yes,On-site,<2 km,<50%,Petty trade,0,Yes,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Mobile phone,Situation in areas of origin,Yes,3765
