country,round,survey_date,,site_region,,site_province,,site_district,site_id,site_name,site_longitude,site_latitude,site_class,site_type,,,site_date_open,,,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,,,regist_activity,,support_wash,health_support,support_shelter,support_food,support_protect,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_problem,water_remark,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,,food_sup_child,food_sup_lac,,,,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,,,,,
Nigeria,14,12/11/2016,AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,AD_S001,NYSC CAMP ADAMAWA,12.44748,9.31849,Spontaneous,Camp,Camps/Camp-like setting,NULL,8/9/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,NULL,476,2411,38,52,90,247,236,483,485,479,964,261,397,658,111,105,216,48,267,2,6,216,0,2,3,6,7,2,8/9/2014,NULL,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,House damaged/destroyed,None,<25%,None,<75%,>75%,>75%,<75%,<75%,Blankets/Mats,Hygiene kits,Kitchen sets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),125,Yes,Yes,Yes,Garbage pit,71,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Malaria,Diarrhea,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<75%,Petty trade,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Excellent,Excellent,"Yes, there is lighting and it is adequate",No,N/A,NULL,Site Management,Situation in areas of origin,No,5075
Nigeria,14,12/1/2016,AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,AD_S033,ANGUWAN MUMUYAWA,12.59541,9.4227,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,06/30/2014,Unknown,NULL,Yes,NULL,Private Building,Bunk houses,Yes,Yes,,,No,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,ADAMAWA,MADAGALI,GULAK,59,367,2,3,5,28,35,63,61,72,133,76,86,162,1,3,4,6,40,2,0,4,0,3,0,7,0,0,07/19/2014,3/2/2016,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,House damaged/destroyed,None,None,>75%,<50%,<25%,<25%,<25%,>75%,Blankets/Mats,Plastic sheeting,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),2,No,No,Yes,Burning,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,No,"Yes, on site",Yes,Irregular,Cash,Yes,No,No,Yes,Yes,No,Fever,Cough,Diarrhea,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<75%,Farming,5,Yes,Yes,Yes,Yes,No,Community Leaders,None,None,None,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Situation in areas of origin,Yes,4752
Nigeria,14,12/1/2016,BO,BORNO,BO11,GWOZA,BO1107,GWOZA WAKANE / BULABULIN,HC0574,BULABULIN,13.68919,11.09015,Host Communities,Host Communities,Host Communities,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,Yes,INGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,NULL,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,668,4000,165,185,350,410,790,1200,310,520,830,580,970,1550,37,33,70,70,360,10,10,70,0,0,3,200,10,0,NULL,NULL,Yes,BORNO,GWOZA,NULL,Nearest village,Lack of safety,None,None,<25%,>75%,None,<50%,<50%,<50%,Hygiene kits,Blankets/Mats,Kitchen sets,On-site (>10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,Yes,Yes but no soap/water inside,No,Yes,Yes,Yes,"Yes, on site",Yes,Once a month,Host community donation,Yes,Yes,Yes,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<5 km,<75%,Farming,300,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,None,5,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,4699
Nigeria,14,12/1/2016,BO,BORNO,BO11,GWOZA,BO1106,GWOZA TOWN GADAMAYO,HC0575,GADAMAYO,13.69833,11.08011,Host Communities,Host Communities,Host Communities,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Individual house,Yes,No,,,Yes,INGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,BORNO,GWOZA,GWOZA TOWN GADAMAYO,1534,7672,130,170,300,950,1350,2300,1550,1560,3110,1105,816,1921,17,24,41,150,300,4,2,41,0,0,37,150,20,0,NULL,NULL,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,Place of origin,Lack of safety,None,None,<25%,>75%,None,<25%,<25%,<25%,Kitchen sets,Soap,Hygiene kits,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Once a month,Host community donation,Yes,Yes,Yes,Yes,Yes,Yes,Cough,Fever,Malaria,Yes,Yes,On-site (>3 km),INGO,Yes,On-site,<2 km,>75%,Farming,520,Yes,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,4687
Nigeria,14,12/1/2016,BO,BORNO,BO11,GWOZA,BO1106,GWOZA TOWN GADAMAYO,HC0576,AJARI,13.70399,11.08364,Host Communities,Host Communities,Host Communities,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Individual house,Yes,Yes,,,Yes,INGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,GWOZA,GUDUF NAGADIYO,BORNO,GWOZA,KURANA BASSA/NGOSHE - SAMA'A,1341,6280,120,230,350,790,860,1650,1115,1585,2700,800,745,1545,10,25,35,70,370,3,1,35,0,0,11,140,10,0,NULL,NULL,Yes,BORNO,GWOZA,GUDUF NAGADIYO,Place of origin,Lack of safety,None,None,<25%,>75%,None,<25%,<25%,<25%,Kitchen sets,Soap,Blankets/Mats,On-site (<10 mn),>50 %,No,Unprotected well,Unprotected well,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Once a month,Host community donation,Yes,Yes,Yes,Yes,Yes,Yes,Cough,Malaria,Fever,Yes,Yes,On-site (>3 km),INGO,Yes,On-site,<1 km,>75%,Farming,0,No,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,4691
Nigeria,14,12/1/2016,BO,BORNO,BO11,GWOZA,BO1106,GWOZA TOWN GADAMAYO,HC0578,HAUSARI LOCATION,13.69572,11.08604,Host Communities,Host Communities,Host Communities,NULL,NULL,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BORNO,GWOZA,NULL,BORNO,GWOZA,DURE / WALA / WARABE,1406,6550,40,70,110,900,1100,2000,890,1829,2719,995,655,1650,31,40,71,50,140,11,2,71,0,0,20,80,21,0,NULL,NULL,Yes,BORNO,GWOZA,DURE / WALA / WARABE,Place of origin,Lack of safety,None,None,<25%,>75%,None,<25%,<25%,<25%,Kitchen sets,Hygiene kits,Soap,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,5 - 10 ltr,Yes,None,No,Not so good (Not hygienic),0,No,No,No,Garbage pit,35,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Once a month,Host community donation,Yes,Yes,Yes,No,No,No,Cough,Fever,Malaria,Yes,Yes,Off-site (>3 km),INGO,Yes,On-site,<1 km,>75%,Farming,0,No,No,Yes,Yes,No,Military,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Safety and Security,No,4711
Nigeria,14,12/2/2016,TR,TARABA,TR07,JALINGO,TR0701,ABBARE YELWA,TR_S025,COCIN CHURCH,11.21581,9.04654,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,08/25/2014,Unknown,NULL,Yes,NULL,Private Building,Individual house,Yes,Yes,,,No,NULL,,,No,No,Yes,No,Yes,No,No,No,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,BORNO,GWOZA,GAVVA / AGAPALWA,23,115,8,9,17,10,13,23,20,22,42,13,18,31,0,2,2,11,27,0,0,2,0,0,0,0,0,0,07/20/2014,08/24/2014,No,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,Place of origin,Lack of safety,None,None,None,>75%,>75%,<50%,>75%,>75%,Kitchen sets,Bucket/Jerry Can,Blankets/Mats,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Distribution,No,No,No,No,No,No,Malaria,Malnutrition,Fever,No,Yes,Off-site (>3 km),Local clinic,Yes,Off-site,<2 km,<25%,Farming,10,Yes,Yes,Yes,No,No,None,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Mobile phone,Safety and Security,No,4729
Nigeria,14,12/11/2016,AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,AD_S019,FUFORE CAMP,12.67762,9.20809,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,11/6/2015,Unknown,NULL,Yes,NULL,Private Building,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,NULL,BORNO,NGALA,NGALA WARD,357,1778,75,102,177,198,212,410,225,271,496,389,288,677,10,8,18,79,295,3,2,18,5,21,2,87,3,0,12/8/2015,12/19/2015,Yes,BORNO,BAMA,NULL,Place of origin,Lack of safety,None,<75%,<25%,<50%,None,<25%,<25%,>75%,Bucket/Jerry Can,Blankets/Mats,Hygiene kits,On-site (<10 mn),<50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),65,Yes,Yes,Yes,Burning,12,No,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Yes,Yes,Yes,Cough,Diarrhea,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,32,Yes,No,No,Yes,Yes,Military,Theft,Unknown,Unknown,None,Fighting between recipients at distribution points,1,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Site Management,Situation in areas of origin,Yes,5048
Nigeria,14,12/11/2016,AD,ADAMAWA,AD20,YOLA NORTH,AD2004,GWADABAWA,AD_S022,LABOUR HOUSE,12.46786,9.2636,Spontaneous,Collective Settlement/Centre,Camps/Camp-like setting,NULL,8/4/2014,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,INGO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ADAMAWA,MADAGALI,GULAK,ADAMAWA,MADAGALI,MADAGALI,30,158,2,2,4,3,9,12,6,16,22,55,59,114,0,6,6,5,4,0,0,6,0,0,0,0,0,0,12/4/2014,6/6/2014,Yes,ADAMAWA,MADAGALI,GULAK,Place of origin,No livelihood,None,None,<75%,<50%,<25%,<50%,<25%,<75%,Kitchen sets,Soap,Blankets/Mats,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,5 - 10 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),14,Yes,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,Yes,Yes,Yes,Yes,"Yes, on site",No,Irregular,Cash,Yes,No,No,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Local clinic,Yes,Off-site,<2 km,<75%,Petty trade,0,Yes,No,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Situation in areas of origin,No,4756
Nigeria,14,12/3/2016,AD,ADAMAWA,AD01,DEMSA,AD0101,BILLE,HC0540,GEJEMBA,11.9094,9.3596,Host Communities,Host Communities,Host Communities,NULL,9/8/2014,Unknown,NULL,Yes,NULL,Ancestral,Self-made tents,No,N/A,,,No,NULL,,,No,No,No,Yes,No,No,Yes,No,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,GWOZA TOWN GADAMAYO,2,10,0,1,1,0,2,2,1,0,1,2,2,4,1,1,2,0,1,0,0,2,0,0,0,0,2,0,1/4/2015,5/9/2015,Yes,BORNO,GWOZA,GWOZA TOWN GADAMAYO,Place of origin,Lack of safety,<25%,<25%,<75%,<25%,None,<50%,None,<75%,Kitchen sets,Blankets/Mats,Soap,Off-site (<10 mn),<50 %,Unknown,Hand pumps,Hand pumps,10 - 15 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,Yes,No,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Cultivated,No,No,No,No,No,No,Fever,Malaria,Cough,No,Yes,On-site (>3 km),Government,Yes,Off-site,<1 km,<50%,Farming,1,Yes,Yes,Yes,Yes,Yes,Community Leaders,Alcohol/drug-related disturbance,Exchange of goods/food for sex,Forced family separations,Intentional physical violence,Not enough assistance for all entitled,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Situation in areas of origin,Yes,4653
